Salary,Sex,Race,Age,Edlevel,Work,Union,Time,Marr,Jobcat
6643,0,0,28.49,15,1.2,0,66,0,1
7293,0,0,27.25,15,3.83,0,63,1,2
9214,0,0,35.17,15,5.58,0,98,0,1
3120,1,1,51.5,8,0,0,81,0,1
5994,1,0,33.12,12,2.74,0,63,0,2
9657,1,0,26.25,12,2,0,92,0,2
5150,1,1,34.17,15,5.08,0,88,1,1
6899,0,1,26.88,16,1.3,0,60,1,4
10341,0,0,31.99,17,6.28,0,89,0,1
3993,0,1,57.9,15,2.02,0,76,1,1
10090,0,1,42.81,19,0.37,0,84,0,4
6358,0,1,33.67,15,2.83,0,98,0,2
11058,0,0,32.5,15,5.33,0,92,0,2
7049,0,1,29.19,12,8.77,0,73,1,1
6058,0,0,63.5,8,34,0,74,1,3
9982,1,0,24.33,12,0.67,0,79,0,2
6818,1,0,23.67,12,0,0,69,1,2
4995,1,1,47.92,12,12.83,0,73,0,2
2818,1,1,32.08,12,4.33,0,96,0,1
9927,0,0,63.92,15,28.17,0,65,1,1
10253,1,0,51.58,12,12,0,75,0,1
8355,1,0,51.92,8,28.67,0,68,1,1
15607,1,0,39.14,16,13.9,1,88,1,4
5570,1,1,34.9,15,10.37,0,93,1,1
12080,1,0,30.42,16,0,0,90,0,2
6086,0,0,38.42,12,12.5,1,83,0,1
17894,0,0,53.79,14,11.67,1,90,0,1
6095,1,0,25.75,15,0.58,0,69,1,2
8528,0,0,32.67,16,5.08,1,76,1,4
3359,1,0,34.39,8,0.38,1,85,0,1
8997,0,0,34.5,19,4.5,1,65,1,5
6418,1,0,25.83,12,0,0,89,1,1
18377,0,0,37.06,19,9.54,0,94,0,4
10183,0,0,28.83,19,1.5,0,65,0,4
4318,0,0,29.17,8,3.42,0,93,0,1
8154,1,0,32.28,12,5.6,0,74,1,2
5378,1,0,59.08,8,6.33,0,76,1,1
8358,0,0,32.25,19,0.67,0,92,0,4
9583,1,0,49.76,15,7.52,0,71,1,1
10157,0,0,34.17,17,3.17,0,89,0,4
6767,1,0,24.08,12,1.08,0,81,0,2
8633,0,0,29.61,12,9,0,66,0,1
8347,0,0,44.5,12,18,1,70,1,2
11086,0,0,30.33,15,4.58,0,79,1,2
5610,0,1,32.67,15,3,0,94,1,1
11622,1,0,62.33,12,15,0,68,0,1
7701,0,0,30.33,14,4.92,0,91,1,2
5314,0,0,25.58,12,2.08,0,78,1,1
5321,0,0,36.34,14,1.53,0,78,1,1
9031,1,0,30.17,16,0.25,0,80,1,2
8712,1,0,53.92,12,13.58,0,87,0,1
15389,0,0,41.17,18,10.42,1,75,1,4
6551,1,0,24.83,12,0.67,0,80,0,1
4515,1,0,30.67,12,4.58,1,90,1,1
4919,0,1,29.92,12,3.17,0,88,1,1
8380,1,0,28.96,16,5.58,0,76,1,4
9395,0,1,46.63,12,28.23,0,64,0,3
5019,1,1,54.17,12,8.42,0,85,1,1
10129,0,0,57.27,15,13.72,1,63,1,2
16197,1,0,60.94,15,19.12,0,93,0,2
6656,1,0,27,15,0,0,82,1,1
15609,0,1,40.58,17,14,1,92,0,1
12562,0,0,28.83,19,6.17,1,69,1,4
7290,1,1,47.58,16,17.83,0,84,1,1
8212,0,0,33.75,15,7.5,0,95,1,1
7542,0,0,63.22,16,1.91,0,67,0,4
7452,0,0,28.67,15,4.58,1,68,0,2
26618,0,0,65.68,16,40.69,0,100,1,4
3352,1,1,25.26,12,0.12,0,80,0,1
8170,1,1,39.65,12,18.31,0,97,1,1
5350,0,0,29.25,12,4.67,1,66,1,1
8422,0,1,30.75,15,7,0,66,1,1
13916,1,0,35.36,16,10.69,0,83,0,4
2999,1,1,26.92,12,0,0,93,1,2
5004,1,0,27.08,12,3.17,0,77,1,1
6761,1,1,54.54,15,30.85,0,82,0,1
7369,1,0,25.58,15,1.83,0,73,0,2
9200,0,1,33.08,15,5.67,0,69,1,2
15363,0,0,46.58,15,21.75,0,79,0,1
10891,1,0,61.67,12,17.08,1,90,1,2
5108,1,0,27.33,12,2.83,0,88,1,1
8082,0,0,28.17,15,4,0,72,1,2
6844,0,1,38.67,12,12.92,0,73,1,3
9302,0,0,30.25,16,3,0,93,1,4
22126,1,0,34.05,19,5.45,0,100,1,4
6260,0,0,28.75,15,0.5,1,67,1,1
6157,1,0,24.83,12,2,0,65,0,2
11780,0,1,41.92,15,12.58,0,91,0,1
5602,1,0,24.17,12,0.42,0,81,1,1
7041,0,0,28.33,16,1.67,0,78,1,1
5605,0,0,31.92,19,2.25,1,64,0,4
4591,0,0,56.52,12,0.93,1,63,0,2
5398,1,1,29.97,15,6.62,0,93,0,1
9240,0,0,34.75,15,7.58,1,83,1,1
9592,1,0,29.17,16,0.33,1,82,1,2
7414,0,0,41,12,17.5,1,65,1,2
8593,0,1,53.5,12,26.17,0,91,0,3
13011,0,0,32.17,15,5.67,0,96,1,2
11409,1,0,50.25,8,14.42,0,65,0,1
8756,0,0,39.33,12,11.92,1,87,1,1
9808,1,0,29.92,16,0.58,0,90,1,4
12855,0,0,33.08,15,5.75,0,83,1,2
6925,0,1,41.58,12,0.61,0,100,1,2
4256,1,1,26.33,12,0.92,0,87,0,2
11744,0,0,30.67,12,7.83,0,79,1,2
17324,1,0,36.35,16,13.93,0,62,1,4
6154,1,0,24.75,8,0.75,0,81,0,2
6213,0,0,29.5,15,2.83,0,82,1,2
7363,1,0,44,12,3.67,0,92,1,1
5002,0,0,28,15,3.17,0,79,1,1
7479,1,0,24.5,12,0,0,81,0,2
6635,1,0,24.75,12,0.42,0,81,1,2
9843,0,0,33.42,16,2.83,0,93,1,4
10337,0,0,33.75,16,3.67,0,91,1,4
7345,1,0,62,12,6,0,86,1,1
12720,0,0,31.67,19,1.92,0,91,1,4
2944,0,0,31.14,8,1.18,0,61,0,3
6899,1,0,25,12,1.5,0,80,1,2
7082,0,0,53.88,8,16.89,0,69,1,3
9744,1,0,43.33,12,20,0,84,0,1
7304,1,0,38.9,8,23.59,0,66,1,3
16967,0,1,38,19,8.25,1,67,1,5
5268,1,1,37.4,12,7.06,0,96,0,1
9932,1,0,52,12,17.42,0,78,1,1
4367,0,0,29.46,8,0.44,0,64,1,1
6548,0,1,29.57,15,0.6,0,61,0,2
8250,1,0,31.12,12,11.36,0,78,0,2
6298,1,0,47.88,12,4.04,0,61,0,1
12826,0,0,37.08,16,5.83,0,97,1,4
15631,1,0,52.5,16,23.75,0,89,0,4
6361,1,1,42.33,16,10.25,0,87,1,1
6426,1,0,29.25,16,2.17,0,75,1,2
6175,0,0,61.67,12,38.33,1,80,1,3
17602,1,0,34.83,16,11.72,0,62,1,4
5762,1,1,37.62,15,9.32,0,94,1,1
8099,0,0,34.83,15,7.25,0,89,1,1
6704,0,0,30.67,15,4.33,0,81,1,2
8943,1,0,24,12,0.17,0,74,1,2
10053,1,0,47.33,12,20.33,1,98,1,1
11647,1,0,29.99,15,5.78,1,74,1,1
7332,0,0,29.5,12,2,0,97,0,1
10866,0,0,59.94,12,8.29,0,91,0,1
10806,1,0,49.7,15,25.62,0,96,0,1
6028,1,0,25.17,12,2.17,0,66,1,1
8260,0,0,34.67,15,11,0,75,1,1
6280,1,0,24.92,12,0.58,0,73,0,2
7647,1,1,51.5,12,22.58,0,72,0,1
8293,0,1,32.08,15,7.17,0,66,1,1
14805,0,0,39.33,19,8,0,96,0,4
4676,1,0,51.42,8,4,0,82,0,1
11828,0,0,31.17,19,1.08,0,81,1,4
6036,1,0,23,12,0,0,65,1,2
5379,1,0,30.5,8,4.33,0,96,0,1
8391,1,0,53.33,15,13.75,0,95,1,1
5527,0,1,31.5,12,5.54,0,84,1,3
7675,0,0,29.75,16,2.92,0,93,1,4
5779,0,0,63.75,8,35.75,1,78,0,3
9051,1,0,59.5,15,20.08,1,65,1,1
3262,1,1,48.67,15,4.25,0,78,0,1
9709,1,0,30.28,16,1,0,91,1,4
20034,1,0,43.54,17,18.68,0,84,1,4
4613,1,1,28.42,15,6.25,0,97,1,1
4506,0,0,35.29,12,1.24,0,62,1,1
5925,1,0,48.45,12,4.51,0,71,1,1
10550,0,0,31.2,12,3.83,0,99,0,2
7634,0,0,29.67,16,1.83,0,77,1,1
9860,0,0,30.17,18,3.92,1,91,0,4
4164,0,0,23.12,12,1.19,1,70,0,1
6596,0,0,28.67,15,2,0,78,0,1
5262,0,0,27.58,15,1.5,0,91,1,1
4704,1,1,60.5,15,1.92,0,96,1,1
5634,0,1,27.83,8,2.17,0,98,1,2
5160,1,0,23.67,12,0.42,1,69,0,2
18190,1,0,58.75,15,22.08,0,82,0,2
7936,0,0,30.75,16,4.58,0,66,0,1
4685,1,1,46.5,12,9.67,0,72,1,1
5739,0,0,27.42,12,3.92,1,66,0,2
5316,1,1,35.24,15,13.14,0,65,0,1
6661,1,0,24.33,8,0.42,0,81,1,2
6184,1,0,23.25,12,0,0,69,1,2
6145,1,0,30.25,12,5.33,0,77,1,1
8274,0,0,28.97,15,7,1,68,0,1
5478,1,0,26.67,12,1.5,0,87,0,1
6588,0,0,26.83,14,1.25,1,71,1,2
8107,0,0,32.85,15,5.73,0,96,0,1
7279,1,0,24.08,12,1,0,69,1,2
8414,1,0,34.2,15,9.8,0,83,0,1
8086,0,0,48.86,15,10.22,0,87,1,1
16010,1,0,55.58,17,31.25,0,73,1,2
5299,0,0,31.75,15,4,0,97,1,1
4104,1,1,45.17,12,9.75,0,74,1,1
5421,0,0,55.58,15,1.68,1,66,0,1
14459,0,0,46,17,17.25,0,93,0,5
9559,0,0,37.17,15,9.5,0,98,1,1
3413,1,1,24,12,0.25,1,69,0,2
9971,0,1,33.83,16,8.75,1,78,1,2
11668,0,0,36.92,19,6.25,1,67,1,4
8451,0,0,59.81,19,0.29,0,80,0,4
12229,0,0,43.01,15,21.64,0,68,0,1
11858,0,0,38.92,15,14.67,1,78,1,4
13508,0,0,48.33,16,22,1,77,0,4
7210,0,0,35.43,12,2.93,0,81,1,2
10091,1,0,62.76,15,33.08,1,88,1,1
11987,0,1,59.75,15,30.92,1,82,1,1
13774,1,0,45.24,16,22.91,0,72,1,1
12079,1,0,64.81,16,7.26,0,71,1,4
4128,1,1,32.1,12,2.15,1,90,1,2
9109,1,0,52,12,13,0,86,1,1
6244,1,0,25.25,12,0.42,0,93,0,1
6694,0,0,25.58,15,0.83,0,65,1,2
10617,1,0,42.08,12,5.25,0,77,0,1
7980,1,0,63.83,8,22.92,1,70,1,1
5789,1,0,23.58,12,0,0,66,1,2
6014,0,0,25.64,12,3.76,0,79,1,2
5074,1,0,50.17,8,5.83,0,79,0,1
6683,0,1,28.67,12,3.08,0,86,1,2
5917,0,1,60.67,8,36,0,92,0,3
7121,1,0,55.92,8,8.5,0,70,1,1
7462,0,0,28,16,1.58,0,65,0,4
8864,0,0,32.25,16,5,0,86,1,4
9127,1,0,29.5,15,0.25,0,94,1,2
11266,0,0,35.17,16,5.75,0,83,1,4
6491,0,1,29.33,15,4.83,0,67,0,2
10862,0,0,29.5,18,2.42,0,80,0,4
4405,1,1,25.5,12,0.42,1,92,0,2
4364,0,0,31.25,12,4,0,94,1,1
8099,1,0,27.67,15,2.67,0,88,1,2
3679,1,0,52.17,12,4.67,1,72,0,1
3065,1,1,27.5,12,3.42,0,84,0,1
16414,0,0,44.92,19,14.58,1,96,1,4
16005,0,0,56.67,21,22,0,88,1,4
6406,1,1,28.19,16,0.21,1,95,0,4
6953,1,1,44.83,15,11.42,1,98,1,1
7844,1,0,27.5,15,4.38,0,89,1,2
12764,0,0,31.65,18,5.31,0,81,0,4
5178,0,1,48.5,8,20.5,0,79,1,3
4406,0,1,63.09,8,0.87,0,85,0,1
5669,0,1,29.17,8,3,0,94,0,2
9411,1,0,63.25,12,9,0,91,0,1
3281,0,1,61.97,12,2.83,0,65,1,1
9772,0,1,37.5,12,14.42,0,90,1,2
9155,1,0,26.83,15,0.92,0,93,1,2
3549,0,0,61.01,8,0.06,1,62,1,1
11034,1,0,47.58,15,9.58,0,98,1,1
6319,1,0,40.17,12,0.5,0,76,0,1
6106,0,0,63.42,8,31.67,1,84,0,3
9298,0,0,32.83,14,5,0,90,1,2
7320,0,0,34.05,15,4.56,0,70,0,1
11743,0,1,57.5,15,29.92,0,88,0,1
8367,1,0,27.5,16,0.92,0,71,1,5
7172,0,1,33.5,16,3.83,0,96,1,1
8826,1,0,32.2,19,3.4,0,75,1,4
3068,1,1,29.08,12,0.92,0,87,1,1
6002,0,1,51.42,8,8.08,0,67,0,1
7141,1,0,29.91,14,9.14,1,64,1,1
15972,0,0,35.58,20,0.5,0,89,0,4
5622,0,1,37.83,8,12,0,92,0,3
9575,1,0,64.25,8,19,0,66,0,1
10943,0,0,30.17,17,0.75,0,83,0,4
6326,1,0,30.58,16,1.42,0,97,1,1
6757,1,0,44.5,12,0.25,0,90,0,2
5522,1,0,55.5,8,0,0,92,1,1
9626,1,0,56.92,8,26.58,0,72,1,1
4210,1,1,45.92,8,16.17,0,72,0,1
6694,1,0,62.08,8,7.5,0,88,1,1
6396,0,0,27.83,12,3.42,0,70,1,2
8406,0,0,26.83,15,1.25,0,70,1,2
5277,0,1,29.33,12,3.17,0,86,0,1
5144,1,1,32.67,12,5.67,0,72,1,2
5264,0,1,33.79,12,0.9,0,85,1,1
12414,1,0,52.08,15,5.71,1,74,0,2
9388,0,1,62.54,12,7.13,0,85,1,2
4725,0,1,43.89,12,1.01,0,72,0,2
8515,0,0,43.7,18,3.91,0,74,0,5
6992,0,1,44.58,12,15,0,84,0,1
7660,0,0,32.33,17,2.67,1,93,0,4
7197,1,0,57.83,8,32.5,0,81,1,1
11000,0,0,27.5,15,5.81,0,76,0,1
7150,0,0,32.33,15,4.5,0,96,1,1
8939,0,0,58.5,15,31,0,70,1,1
7132,1,0,29.67,16,0.92,0,93,0,1
8015,1,0,32,16,1.58,0,85,0,2
8907,0,1,42.58,18,15.17,0,88,1,1
2395,1,1,27.58,12,2.67,0,75,0,2
8225,0,0,34.25,18,4.17,1,66,1,5
5560,1,0,25.83,12,1.33,0,83,1,2
7071,0,0,30.96,15,0.34,0,77,1,1
10797,1,0,31.08,17,6.03,0,87,0,1
7924,1,0,27.58,16,0.92,1,68,1,4
3918,1,1,54.92,12,1.32,0,91,1,2
7210,0,0,28.42,19,2.17,1,65,1,4
9675,0,1,26.35,17,1.32,0,67,0,5
13278,0,0,32.08,17,1.5,0,96,1,4
6818,1,0,25.08,12,0.75,0,63,0,2
6711,1,0,58,15,4.5,1,90,1,1
4096,0,0,58.94,12,4.96,1,79,1,1
8842,1,0,46.42,8,15.83,1,98,1,1
8291,1,0,31.5,12,5.75,0,85,0,1
13411,0,0,35.42,15,11.08,0,78,0,4
6107,1,1,30.28,15,6.73,0,84,1,1
9165,0,0,31.92,12,5.5,0,97,1,1
5809,0,0,31.42,15,1.83,0,89,1,1
9609,1,0,28.75,15,1.83,0,90,0,2
6489,1,0,49.08,15,4.08,0,72,0,1
8524,0,0,56,12,25.58,0,95,1,3
6557,0,0,31.17,15,3.5,0,92,1,1
11303,0,0,31.08,15,4.08,0,83,1,4
10075,1,0,28.42,16,1.67,0,79,0,4
6812,1,0,27.25,12,0,0,98,1,1
10330,1,0,29,16,3,0,64,1,4
9392,1,0,27.08,15,3.92,0,67,0,2
6755,1,0,27.25,12,1.83,0,76,1,2
5131,1,1,26.35,15,3.2,1,71,0,2
9588,0,0,29.67,12,6.92,0,96,0,2
4245,1,0,25.42,8,0.5,0,92,1,1
3745,1,0,25.46,8,4.92,0,64,1,3
4202,0,1,28.67,12,2.42,0,85,1,1
8386,0,1,31.92,15,4.08,0,96,0,2
7089,0,0,32.08,15,8,0,67,1,1
7938,1,0,24.33,12,0.42,0,80,0,2
7758,0,0,37.03,8,22.11,0,64,0,1
5780,1,1,28.9,14,8.12,0,65,1,1
9150,1,0,57.12,12,5.74,0,77,1,2
9025,0,0,29.58,15,5.33,1,66,0,1
8081,1,0,25.08,12,0,0,81,0,2
7708,0,0,30.25,16,1.08,0,84,1,4
3698,1,0,24.3,8,2.77,1,98,1,3
9098,0,0,28.5,16,0.25,0,81,1,4
8218,1,0,25.31,12,3.38,0,100,0,2
8670,0,0,31.17,16,1.83,1,93,1,4
7883,1,0,25,12,0,1,80,1,2
14340,0,0,42.42,16,12.5,0,86,1,4
7389,1,0,62.5,8,34.33,1,88,1,1
18497,0,0,49.92,16,21.5,0,83,1,5
7091,1,0,24.67,12,0,1,77,0,2
10473,0,1,26.44,16,1.52,0,84,1,4
6500,0,0,40.08,12,14.58,1,89,1,1
8531,0,1,43.42,15,9,0,83,1,1
21527,0,0,39.67,19,10,0,96,0,5
5687,1,1,51,12,19,1,85,1,1
12513,0,0,39.42,18,12.42,0,78,1,4
11608,1,0,59.48,12,14.27,0,72,0,2
6286,0,0,31.56,12,4.07,1,67,1,4
12181,0,1,44.49,15,11.04,0,88,0,4
8642,1,0,27.17,12,3.92,0,78,1,2
8167,0,0,29.75,17,2.17,0,78,1,4
11225,0,1,53.08,12,26.25,0,97,1,1
5860,0,0,34.26,12,3.05,0,64,0,2
14456,0,0,39.67,16,10.5,0,87,1,4
15277,0,0,34.33,19,5.67,0,91,1,4
8516,1,0,28.33,15,2,0,86,1,2
6419,0,0,30.25,12,2.67,0,82,0,1
11890,1,0,31.56,12,7.15,0,67,1,2
5100,1,0,58.95,12,5.84,0,71,1,1
11161,0,0,31.5,12,6.25,0,87,1,2
4644,1,0,28.59,12,1.19,1,85,1,1
5935,0,0,31.75,15,2.25,0,93,1,1
10205,0,0,34.25,12,10.83,0,92,1,1
7417,0,0,40.14,12,15.2,0,60,0,1
4913,0,0,25,15,1.67,0,65,1,1
7725,1,1,40.5,15,6.58,0,86,1,1
11020,0,0,39.67,18,4.67,0,94,0,4
6337,0,1,33.5,15,4.33,0,77,0,1
7482,1,0,52.85,16,0.02,1,97,0,4
11395,1,0,62.42,12,24,0,84,0,1
21814,1,0,45.99,16,21.28,0,93,0,4
5469,0,1,27.67,15,2.67,0,64,0,1
6318,0,1,54.92,8,26.67,0,78,0,1
5794,1,0,23.33,12,0.42,0,69,1,1
4548,0,0,42.24,12,2.02,0,76,0,1
4790,0,1,39.64,12,1.37,0,65,1,1
6203,0,1,43.67,12,17.42,0,90,0,3
7821,0,0,35.12,16,0.71,0,71,0,4
11609,1,0,64.08,17,36.16,0,75,0,1
14568,1,0,32.69,16,5.64,0,71,1,4
8751,1,0,25.71,16,2.66,0,66,1,4
4930,0,0,21.55,12,1.49,0,95,1,1
6626,0,0,29,15,2.08,0,86,0,1
9112,0,1,55.33,12,23.42,0,78,0,3
6601,1,0,23.42,12,0.17,0,69,0,2
6008,1,0,24.58,12,0.92,1,81,0,2
7783,1,0,25.5,12,0.5,0,92,0,2
4420,1,1,25.5,12,0.75,1,83,1,1
22870,0,0,43.25,20,11.17,0,85,0,5
6615,0,0,55.69,8,17.9,0,88,1,3
8083,0,0,29.92,15,5.67,0,67,0,1
6771,1,1,57.93,15,8.53,1,76,1,1
7819,0,0,61.75,8,39.67,0,78,0,1
5440,1,0,59.08,8,6.25,0,83,1,1
5088,1,0,25.42,12,0,0,92,0,1
10184,0,0,30.08,12,7.08,0,82,1,2
4717,1,0,34.81,12,2.48,0,76,1,1
7371,1,0,31.05,12,11.19,1,73,0,2
7943,0,0,29.58,16,3.75,0,74,1,4
4722,1,0,26.58,12,0.33,0,81,1,1
7629,1,0,60.5,8,13.25,1,73,1,2
9308,0,0,60.67,8,22,0,66,1,1
2796,1,1,25.25,12,0.58,0,83,1,2
5476,0,0,30.83,8,4.17,0,95,1,1
6298,0,0,29.33,12,3.83,0,95,0,2
10138,0,0,31.75,15,4,0,91,0,2
9679,1,0,44.5,15,10.17,0,66,0,1
10704,1,0,54.42,12,8.92,0,88,1,1
8870,1,0,33.76,16,10.31,0,70,1,1
4383,1,0,31.79,12,1.94,1,90,1,1
7181,1,0,56.67,12,11.58,1,63,0,2
4306,0,0,61.84,8,4.7,0,88,0,1
11354,1,0,35.59,15,11.91,1,95,1,1
5132,0,0,29.08,12,4.17,0,83,0,1
12124,0,0,32.11,16,9.36,0,78,0,4
8129,0,0,31.25,19,1.75,0,68,1,1
10541,0,0,28.5,16,1,0,79,1,4
7558,1,0,28.58,12,2.31,0,71,1,2
9797,0,0,50.25,12,23.67,0,83,1,3
2446,1,1,32.12,12,0.83,0,70,1,1
5673,0,1,25.42,12,0.58,1,78,1,1
5540,0,0,34,12,0.43,0,88,1,1
9581,0,0,29.58,16,1,0,79,1,4
5035,1,1,31.76,12,7.61,0,82,0,1
7825,1,0,47.72,8,31.93,0,86,1,1
6365,1,0,33.5,12,6.92,1,91,1,1
15396,0,0,30.42,15,6.5,0,94,1,2
6991,1,0,24.42,12,1.67,0,69,1,2
4741,0,1,35.25,8,12,0,76,1,3
5436,1,0,46.35,12,2.82,0,66,1,2
11537,1,0,56.27,15,9.83,0,84,0,1
5754,1,0,60.41,15,4.9,0,76,0,2
3611,1,0,51.24,12,4.09,1,63,1,1
5317,1,0,24.92,12,0.75,1,81,1,2
8045,0,1,63.75,12,30.58,1,86,1,1
7869,0,0,28.67,12,6.67,1,66,1,2
9199,0,1,30.33,14,3.92,1,79,0,2
11936,1,0,35.75,16,10.72,0,85,1,1
6216,0,1,45.5,12,20,0,91,1,3
15240,0,0,53.96,16,8.99,0,93,1,4
5405,1,0,28.17,12,0.92,0,82,1,1
5653,1,1,50.33,12,14.08,0,72,0,1
6880,0,1,28.99,16,2.84,0,91,1,1
9472,0,1,41.67,16,10,0,67,0,1
8890,1,0,38.87,12,3.67,0,97,0,2
8803,0,0,30.17,12,6,0,73,1,1
8533,1,0,52.33,12,6.83,0,70,1,1
7835,1,0,47.22,12,3.9,0,97,0,2
8299,1,0,42.02,8,25.44,0,91,1,1
5858,1,0,53.92,12,4,0,97,1,1
8908,0,1,30.5,15,5.83,1,68,1,1
8636,1,0,49.17,12,19,0,73,0,1
6797,0,0,44.93,16,2.41,0,65,1,2
15860,0,0,42.43,8,9.54,0,62,0,2
5345,0,0,30.42,15,3.33,1,94,1,1
10272,1,0,51.17,8,23.42,0,74,0,1
4972,0,0,33.33,15,3.67,0,81,1,1
5210,0,1,24.42,12,1,0,77,1,1
13007,1,0,46.34,16,9.27,0,82,0,4
6358,1,0,26.37,12,7.27,0,70,1,3
14859,1,0,53.92,12,29.83,0,82,1,1
7487,0,0,40.02,8,25.06,0,76,1,1
19509,0,0,34.92,19,6.75,0,69,0,5
8587,0,1,28.33,12,1.5,1,76,0,2
6121,1,0,31.5,16,0.67,1,93,0,1
6433,0,0,50.21,12,10.53,1,76,1,1
7644,1,0,23.42,12,0,0,69,0,2
5468,1,1,28.61,12,7.55,1,89,1,2
10362,0,0,57.63,15,22.29,0,66,0,1
